label,text
ham,I'll call you later when I get home.
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.
ham,Are we still meeting at 6pm for dinner?
spam,URGENT! You have won a free cruise. Reply YES to claim.
ham,Don't forget to bring the documents tomorrow morning.
spam,You have been selected for a cash prize. Click www.win-money-now.com
ham,Can you send me the report by noon?
spam,This is not a scam! Transfer fees to receive your inheritance.
ham,Happy birthday! Hope you have a great day.
spam,Act now to get a free iPhone. Limited time offer!
